facility_id,obligor_id,obligor_name,group_id,group_name,country,region,sector,product_type,internal_rating,rating_band,currency,limit_amount,outstanding_amount,undrawn_amount,collateral_value,origination_date,maturity_date,interest_rate,is_defaulted
17,48,Obligor_0048,16,Group_016,MX,North America,Real_Estate,Derivatives,5,Sub_IG,GBP,530000.0,253978.0,276022.0,289787.0,2025-01-25,2026-12-01,0.0486,0
18,89,Obligor_0089,17,Group_017,DE,LATAM,Real_Estate,Revolver,6,Sub_IG,USD,610000.0,337995.0,272005.0,58471.0,2023-11-20,2026-05-09,0.0494,0
19,117,Obligor_0117,46,Group_046,KZ,LATAM,Manufacturing,Guarantee,9,Watchlist,EUR,950000.0,258498.0,691502.0,813437.0,2019-08-28,2025-12-05,0.0621,0
20,129,Obligor_0129,25,Group_025,DE,LATAM,Utilities,Term_Loan,4,Investment_Grade,EUR,470000.0,245108.0,224892.0,194005.0,2020-12-02,2022-07-23,0.0444,0
21,16,Obligor_0016,17,Group_017,DE,LATAM,Real_Estate,Guarantee,3,Investment_Grade,USD,550000.0,439623.0,110377.0,291272.0,2021-03-17,2025-07-31,0.0375,0
22,189,Obligor_0189,47,Group_047,IT,LATAM,TMT,Term_Loan,5,Sub_IG,EUR,340000.0,172278.0,167722.0,196434.0,2015-01-31,2021-12-11,0.049,0
23,192,Obligor_0192,52,Group_052,CN,EMEA,Retail,Derivatives,1,Investment_Grade,EUR,530000.0,385891.0,144109.0,365160.0,2024-11-03,2028-06-26,0.0311,0
24,191,Obligor_0191,40,Group_040,FR,APAC,Retail,Guarantee,7,Sub_IG,USD,350000.0,196665.0,153335.0,232059.0,2018-09-28,2022-03-05,0.0549,0
25,69,Obligor_0069,36,Group_036,US,North America,Transport,Revolver,2,Investment_Grade,USD,680000.0,452072.0,227928.0,294395.0,2018-11-01,2025-06-20,0.0327,0
26,22,Obligor_0022,16,Group_016,MX,North America,Real_Estate,Term_Loan,3,Investment_Grade,EUR,340000.0,125957.0,214043.0,141735.0,2018-02-27,2019-04-02,0.039,0
27,93,Obligor_0093,59,Group_059,JP,APAC,Energy,Term_Loan,6,Sub_IG,EUR,580000.0,357884.0,222116.0,291249.0,2016-09-08,2018-11-28,0.0491,0
28,195,Obligor_0195,30,Group_030,BR,LATAM,TMT,Guarantee,4,Investment_Grade,EUR,430000.0,762.0,429238.0,290257.0,2016-06-22,2022-04-20,0.0429,0
29,76,Obligor_0076,80,Group_080,CN,LATAM,Real_Estate,Derivatives,3,Investment_Grade,EUR,970000.0,545742.0,424258.0,118189.0,2022-08-18,2027-11-23,0.0378,0
30,154,Obligor_0154,7,Group_007,JP,North America,Transport,Guarantee,4,Investment_Grade,USD,430000.0,117779.0,312221.0,241240.0,2023-06-01,2026-01-15,0.0439,0
31,144,Obligor_0144,43,Group_043,FR,EMEA,Manufacturing,Derivatives,7,Sub_IG,EUR,130000.0,109356.0,20644.0,23195.0,2017-05-20,2023-12-05,0.0539,0
32,179,Obligor_0179,70,Group_070,US,EMEA,TMT,Derivatives,3,Investment_Grade,USD,1070000.0,808365.0,261635.0,923200.0,2015-04-11,2017-03-19,0.0421,0
33,86,Obligor_0086,8,Group_008,UK,North America,Transport,Term_Loan,7,Sub_IG,USD,230000.0,159467.0,70533.0,113121.0,2024-11-13,2028-11-20,0.0534,0
34,185,Obligor_0185,60,Group_060,IT,North America,TMT,Guarantee,1,Investment_Grade,USD,280000.0,253176.0,26824.0,82878.0,2023-07-27,2028-06-14,0.0289,0
35,29,Obligor_0029,59,Group_059,JP,APAC,Energy,Guarantee,6,Sub_IG,USD,290000.0,118963.0,171037.0,147082.0,2018-11-13,2023-06-18,0.0507,0
36,69,Obligor_0069,36,Group_036,US,North America,Transport,Derivatives,6,Sub_IG,USD,1160000.0,1101388.0,58612.0,466668.0,2022-07-02,2027-07-19,0.0522,0
37,47,Obligor_0047,7,Group_007,JP,North America,Transport,Guarantee,2,Investment_Grade,USD,100000.0,78644.0,21356.0,35995.0,2017-07-29,2021-09-22,0.0361,0
38,94,Obligor_0094,22,Group_022,BR,North America,Utilities,Revolver,3,Investment_Grade,EUR,3980000.0,2199702.0,1780298.0,0.0,2015-12-07,2022-03-11,0.0383,0
39,190,Obligor_0190,55,Group_055,DE,APAC,Retail,Revolver,2,Investment_Grade,USD,930000.0,769225.0,160775.0,133875.0,2022-12-18,2027-09-30,0.0347,0
40,197,Obligor_0197,17,Group_017,DE,LATAM,Real_Estate,Guarantee,5,Sub_IG,USD,520000.0,196945.0,323055.0,189741.0,2017-11-09,2024-08-31,0.0467,0
41,144,Obligor_0144,43,Group_043,FR,EMEA,Manufacturing,Guarantee,4,Investment_Grade,USD,430000.0,187092.0,242908.0,0.0,2024-02-09,2029-05-27,0.0398,0
42,176,Obligor_0176,49,Group_049,CN,EMEA,Manufacturing,Derivatives,5,Sub_IG,USD,540000.0,258272.0,281728.0,136731.0,2024-04-11,2030-06-18,0.048,0
43,85,Obligor_0085,20,Group_020,JP,APAC,Energy,Revolver,2,Investment_Grade,USD,640000.0,316291.0,323709.0,176020.0,2015-02-07,2021-03-18,0.0315,0
44,39,Obligor_0039,39,Group_039,KZ,North America,Transport,Revolver,2,Investment_Grade,USD,690000.0,268195.0,421805.0,141546.0,2016-10-21,2017-11-18,0.0318,0
45,100,Obligor_0100,27,Group_027,JP,EMEA,TMT,Term_Loan,1,Investment_Grade,EUR,650000.0,549001.0,100999.0,385508.0,2020-07-26,2023-07-01,0.0301,0
46,33,Obligor_0033,19,Group_019,UK,LATAM,TMT,Derivatives,3,Investment_Grade,EUR,470000.0,257668.0,212332.0,84580.0,2019-04-10,2023-01-24,0.0374,0
47,101,Obligor_0101,27,Group_027,JP,EMEA,TMT,Term_Loan,4,Investment_Grade,EUR,390000.0,261495.0,128505.0,164620.0,2024-06-19,2031-02-11,0.0436,0
48,23,Obligor_0023,73,Group_073,CN,North America,Transport,Revolver,7,Sub_IG,USD,400000.0,194372.0,205628.0,124684.0,2019-07-15,2024-06-29,0.0549,0
49,10,Obligor_0010,70,Group_070,US,EMEA,TMT,Derivatives,5,Sub_IG,USD,390000.0,91993.0,298007.0,144417.0,2023-02-23,2028-09-08,0.0463,0
50,69,Obligor_0069,36,Group_036,US,North America,Transport,Guarantee,3,Investment_Grade,EUR,980000.0,640931.0,339069.0,785568.0,2017-11-15,2021-07-08,0.0357,0
51,100,Obligor_0100,27,Group_027,JP,EMEA,TMT,Derivatives,9,Watchlist,USD,670000.0,145758.0,524242.0,298097.0,2016-03-29,2018-10-22,0.0621,0
52,34,Obligor_0034,20,Group_020,JP,APAC,Energy,Guarantee,5,Sub_IG,USD,60000.0,35176.0,24824.0,29595.0,2019-09-01,2025-01-23,0.0459,0
53,180,Obligor_0180,15,Group_015,DE,LATAM,Transport,Guarantee,8,Watchlist,USD,700000.0,228436.0,471564.0,146052.0,2018-09-08,2021-05-14,0.0584,0
54,138,Obligor_0138,66,Group_066,US,EMEA,Manufacturing,Derivatives,4,Investment_Grade,USD,510000.0,508702.0,1298.0,283834.0,2022-08-16,2024-07-06,0.0411,0
55,147,Obligor_0147,42,Group_042,JP,APAC,Manufacturing,Guarantee,3,Investment_Grade,USD,440000.0,344200.0,95800.0,240237.0,2024-10-24,2026-10-17,0.039,0
56,186,Obligor_0186,5,Group_005,UK,APAC,Retail,Term_Loan,1,Investment_Grade,USD,340000.0,211191.0,128809.0,177447.0,2017-03-29,2023-03-13,0.0293,1
57,96,Obligor_0096,38,Group_038,JP,North America,Manufacturing,Revolver,5,Sub_IG,USD,970000.0,827159.0,142841.0,94775.0,2017-02-11,2022-10-29,0.0469,0
58,1,Obligor_0001,2,Group_002,JP,LATAM,TMT,Guarantee,2,Investment_Grade,USD,860000.0,370434.0,489566.0,218172.0,2015-01-13,2019-09-23,0.0356,0
59,69,Obligor_0069,36,Group_036,US,North America,Transport,Term_Loan,3,Investment_Grade,EUR,260000.0,184261.0,75739.0,197183.0,2023-02-10,2024-07-23,0.0369,0
60,4,Obligor_0004,1,Group_001,CN,APAC,Manufacturing,Guarantee,4,Investment_Grade,EUR,590000.0,377578.0,212422.0,134558.0,2025-11-23,2031-04-07,0.0405,0
61,16,Obligor_0016,17,Group_017,DE,LATAM,Real_Estate,Revolver,4,Investment_Grade,EUR,220000.0,143617.0,76383.0,174349.0,2024-12-10,2030-05-25,0.043,0
62,24,Obligor_0024,59,Group_059,JP,APAC,Energy,Term_Loan,4,Investment_Grade,EUR,170000.0,145260.0,24740.0,44778.0,2017-07-09,2021-09-27,0.0394,0
63,80,Obligor_0080,68,Group_068,IT,North America,Manufacturing,Revolver,2,Investment_Grade,GBP,290000.0,216485.0,73515.0,126746.0,2017-04-04,2021-05-28,0.0362,0
64,2,Obligor_0002,2,Group_002,JP,LATAM,TMT,Revolver,3,Investment_Grade,USD,810000.0,532773.0,277227.0,286098.0,2021-08-15,2023-02-23,0.038,0
65,128,Obligor_0128,18,Group_018,MX,LATAM,Retail,Term_Loan,4,Investment_Grade,USD,860000.0,231359.0,628641.0,162367.0,2018-08-07,2019-11-06,0.0418,0
66,160,Obligor_0160,8,Group_008,UK,North America,Transport,Term_Loan,9,Watchlist,USD,630000.0,257034.0,372966.0,121211.0,2021-07-07,2022-11-22,0.0631,0
67,84,Obligor_0084,48,Group_048,MX,APAC,Utilities,Term_Loan,5,Sub_IG,EUR,730000.0,420084.0,309916.0,163476.0,2025-01-25,2027-05-20,0.047,0
68,152,Obligor_0152,13,Group_013,UK,APAC,TMT,Derivatives,8,Watchlist,EUR,630000.0,389765.0,240235.0,275320.0,2021-04-27,2026-01-12,0.058,0
69,140,Obligor_0140,2,Group_002,JP,LATAM,TMT,Term_Loan,6,Sub_IG,USD,280000.0,104709.0,175291.0,174329.0,2020-07-10,2022-06-14,0.0518,0
70,178,Obligor_0178,42,Group_042,JP,APAC,Manufacturing,Term_Loan,4,Investment_Grade,GBP,600000.0,600000.0,0.0,252473.0,2025-07-28,2029-07-07,0.0407,0
71,163,Obligor_0163,76,Group_076,BR,EMEA,Manufacturing,Term_Loan,2,Investment_Grade,USD,770000.0,695525.0,74475.0,301575.0,2025-10-17,2028-12-23,0.0354,0
72,124,Obligor_0124,63,Group_063,ES,North America,Retail,Term_Loan,5,Sub_IG,GBP,750000.0,540318.0,209682.0,526946.0,2018-05-13,2020-08-29,0.0438,0
73,33,Obligor_0033,19,Group_019,UK,LATAM,TMT,Guarantee,4,Investment_Grade,USD,1020000.0,626696.0,393304.0,418541.0,2016-11-27,2021-11-28,0.043,0
74,161,Obligor_0161,16,Group_016,MX,North America,Real_Estate,Derivatives,4,Investment_Grade,USD,730000.0,407017.0,322983.0,192927.0,2022-06-27,2025-02-20,0.0413,0
75,189,Obligor_0189,47,Group_047,IT,LATAM,TMT,Revolver,4,Investment_Grade,USD,570000.0,233481.0,336519.0,85822.0,2017-08-07,2020-11-04,0.0394,0
76,179,Obligor_0179,70,Group_070,US,EMEA,TMT,Term_Loan,4,Investment_Grade,USD,940000.0,578566.0,361434.0,674555.0,2021-08-31,2024-04-19,0.0425,0
77,171,Obligor_0171,63,Group_063,ES,North America,Retail,Guarantee,3,Investment_Grade,USD,430000.0,280167.0,149833.0,136590.0,2025-11-07,2031-01-17,0.0379,0
78,101,Obligor_0101,27,Group_027,JP,EMEA,TMT,Guarantee,4,Investment_Grade,USD,240000.0,84395.0,155605.0,61286.0,2022-11-08,2025-04-04,0.0389,0
79,12,Obligor_0012,68,Group_068,IT,North America,Manufacturing,Guarantee,2,Investment_Grade,EUR,390000.0,260066.0,129934.0,91158.0,2021-11-20,2027-01-24,0.0298,0
80,67,Obligor_0067,75,Group_075,KZ,North America,Real_Estate,Revolver,6,Sub_IG,USD,260000.0,147927.0,112073.0,182922.0,2018-12-09,2025-01-28,0.0497,0
81,65,Obligor_0065,33,Group_033,CN,LATAM,Retail,Term_Loan,2,Investment_Grade,USD,280000.0,61163.0,218837.0,71892.0,2015-03-10,2020-11-02,0.0372,0
82,161,Obligor_0161,16,Group_016,MX,North America,Real_Estate,Derivatives,1,Investment_Grade,EUR,400000.0,171169.0,228831.0,259046.0,2024-09-13,2028-07-08,0.0306,0
83,168,Obligor_0168,51,Group_051,BR,APAC,Transport,Derivatives,3,Investment_Grade,EUR,250000.0,129320.0,120680.0,85600.0,2023-09-11,2026-01-22,0.0367,0
84,74,Obligor_0074,54,Group_054,JP,LATAM,Manufacturing,Guarantee,5,Sub_IG,USD,360000.0,351914.0,8086.0,35246.0,2019-11-17,2025-06-27,0.0482,0
85,43,Obligor_0043,50,Group_050,MX,EMEA,Real_Estate,Revolver,3,Investment_Grade,USD,120000.0,85357.0,34643.0,38025.0,2023-11-07,2026-10-23,0.0398,0
86,44,Obligor_0044,23,Group_023,JP,EMEA,Retail,Revolver,3,Investment_Grade,USD,510000.0,169781.0,340219.0,199819.0,2021-02-25,2025-04-11,0.0405,0
87,29,Obligor_0029,59,Group_059,JP,APAC,Energy,Revolver,4,Investment_Grade,USD,440000.0,306771.0,133229.0,163331.0,2021-03-13,2026-04-29,0.0434,0
88,141,Obligor_0141,17,Group_017,DE,LATAM,Real_Estate,Derivatives,3,Investment_Grade,EUR,250000.0,72635.0,177365.0,91251.0,2020-05-23,2023-03-19,0.0398,0
89,12,Obligor_0012,68,Group_068,IT,North America,Manufacturing,Guarantee,8,Watchlist,USD,700000.0,571577.0,128423.0,223660.0,2015-07-31,2019-07-14,0.0595,0
90,95,Obligor_0095,30,Group_030,BR,LATAM,TMT,Term_Loan,8,Watchlist,USD,850000.0,429909.0,420091.0,173185.0,2016-05-22,2018-01-04,0.057,0
91,46,Obligor_0046,42,Group_042,JP,APAC,Manufacturing,Derivatives,4,Investment_Grade,EUR,140000.0,81378.0,58622.0,56376.0,2020-08-25,2022-01-20,0.0387,0
92,130,Obligor_0130,54,Group_054,JP,LATAM,Manufacturing,Guarantee,3,Investment_Grade,USD,260000.0,224941.0,35059.0,139162.0,2019-03-02,2023-02-03,0.037,0
93,35,Obligor_0035,71,Group_071,IT,EMEA,TMT,Guarantee,5,Sub_IG,USD,260000.0,89067.0,170933.0,8931.0,2023-01-10,2027-03-22,0.0482,0
94,81,Obligor_0081,33,Group_033,CN,LATAM,Retail,Term_Loan,1,Investment_Grade,USD,230000.0,73733.0,156267.0,166696.0,2015-11-28,2018-08-20,0.0292,0
95,90,Obligor_0090,33,Group_033,CN,LATAM,Retail,Term_Loan,4,Investment_Grade,GBP,790000.0,381791.0,408209.0,0.0,2022-07-27,2027-04-20,0.0417,0
96,8,Obligor_0008,44,Group_044,FR,LATAM,Real_Estate,Term_Loan,3,Investment_Grade,USD,390000.0,314994.0,75006.0,163337.0,2025-10-23,2027-12-09,0.0357,0
97,93,Obligor_0093,59,Group_059,JP,APAC,Energy,Revolver,8,Watchlist,EUR,370000.0,109568.0,260432.0,191113.0,2016-07-04,2022-04-24,0.0569,0
98,154,Obligor_0154,7,Group_007,JP,North America,Transport,Term_Loan,1,Investment_Grade,USD,110000.0,3693.0,106307.0,27408.0,2019-06-13,2021-11-13,0.03,0
99,90,Obligor_0090,33,Group_033,CN,LATAM,Retail,Guarantee,4,Investment_Grade,USD,690000.0,351740.0,338260.0,0.0,2017-07-30,2022-04-27,0.043,0
100,162,Obligor_0162,14,Group_014,ES,APAC,Utilities,Term_Loan,5,Sub_IG,EUR,190000.0,134966.0,55034.0,71406.0,2021-04-22,2025-04-28,0.0451,0
101,115,Obligor_0115,44,Group_044,FR,LATAM,Real_Estate,Guarantee,4,Investment_Grade,GBP,460000.0,386424.0,73576.0,203515.0,2023-04-28,2025-12-15,0.0409,0
102,105,Obligor_0105,64,Group_064,KZ,North America,Manufacturing,Derivatives,1,Investment_Grade,EUR,540000.0,273979.0,266021.0,60923.0,2025-07-04,2031-01-18,0.0317,0
103,135,Obligor_0135,32,Group_032,BR,North America,Retail,Revolver,9,Watchlist,EUR,1150000.0,595372.0,554628.0,221337.0,2016-12-28,2022-08-09,0.0627,0
104,196,Obligor_0196,19,Group_019,UK,LATAM,TMT,Derivatives,4,Investment_Grade,EUR,180000.0,149540.0,30460.0,115322.0,2017-05-29,2024-04-27,0.0429,0
105,58,Obligor_0058,19,Group_019,UK,LATAM,TMT,Derivatives,4,Investment_Grade,USD,50000.0,11303.0,38697.0,21471.0,2022-11-02,2029-10-29,0.0451,0
106,114,Obligor_0114,17,Group_017,DE,LATAM,Real_Estate,Guarantee,2,Investment_Grade,USD,500000.0,261148.0,238852.0,11415.0,2023-11-18,2030-02-23,0.033,0
107,75,Obligor_0075,35,Group_035,JP,EMEA,Energy,Derivatives,4,Investment_Grade,EUR,1560000.0,995412.0,564588.0,799434.0,2016-10-10,2019-10-09,0.0419,0
108,157,Obligor_0157,45,Group_045,US,LATAM,Retail,Guarantee,3,Investment_Grade,USD,1050000.0,724336.0,325664.0,175739.0,2017-09-26,2020-05-06,0.0391,0
109,120,Obligor_0120,24,Group_024,IT,LATAM,Manufacturing,Term_Loan,1,Investment_Grade,EUR,510000.0,254000.0,256000.0,105218.0,2019-03-02,2021-03-12,0.0283,0
110,164,Obligor_0164,15,Group_015,DE,LATAM,Transport,Term_Loan,2,Investment_Grade,GBP,310000.0,188135.0,121865.0,139318.0,2021-11-23,2026-09-30,0.0345,0
111,21,Obligor_0021,11,Group_011,ES,APAC,Real_Estate,Guarantee,6,Sub_IG,USD,780000.0,79821.0,700179.0,332376.0,2024-06-17,2030-07-30,0.05,0
112,164,Obligor_0164,15,Group_015,DE,LATAM,Transport,Term_Loan,2,Investment_Grade,USD,220000.0,103037.0,116963.0,65857.0,2022-06-30,2025-07-19,0.0396,0
113,138,Obligor_0138,66,Group_066,US,EMEA,Manufacturing,Revolver,2,Investment_Grade,EUR,620000.0,428235.0,191765.0,169848.0,2019-06-01,2022-02-16,0.0342,0
114,101,Obligor_0101,27,Group_027,JP,EMEA,TMT,Derivatives,4,Investment_Grade,USD,630000.0,254231.0,375769.0,212499.0,2022-07-10,2027-12-25,0.0443,0
115,152,Obligor_0152,13,Group_013,UK,APAC,TMT,Revolver,6,Sub_IG,EUR,930000.0,568971.0,361029.0,190512.0,2021-12-29,2025-09-18,0.0517,0
116,192,Obligor_0192,52,Group_052,CN,EMEA,Retail,Derivatives,1,Investment_Grade,USD,3050000.0,2102592.0,947408.0,2050372.0,2023-04-28,2028-08-27,0.0277,0
117,177,Obligor_0177,52,Group_052,CN,EMEA,Retail,Term_Loan,4,Investment_Grade,EUR,580000.0,308264.0,271736.0,4467.0,2017-10-06,2020-09-07,0.0389,0
118,99,Obligor_0099,8,Group_008,UK,North America,Transport,Revolver,2,Investment_Grade,USD,310000.0,196569.0,113431.0,105332.0,2019-03-31,2025-11-18,0.0345,0
119,36,Obligor_0036,52,Group_052,CN,EMEA,Retail,Term_Loan,1,Investment_Grade,EUR,430000.0,175205.0,254795.0,15114.0,2017-03-14,2021-06-05,0.0325,0
120,96,Obligor_0096,38,Group_038,JP,North America,Manufacturing,Derivatives,1,Investment_Grade,USD,130000.0,72628.0,57372.0,82420.0,2022-11-18,2025-03-08,0.0306,0
121,152,Obligor_0152,13,Group_013,UK,APAC,TMT,Guarantee,6,Sub_IG,USD,270000.0,194952.0,75048.0,91644.0,2024-04-19,2026-05-24,0.0502,0
122,151,Obligor_0151,24,Group_024,IT,LATAM,Manufacturing,Guarantee,2,Investment_Grade,USD,330000.0,208360.0,121640.0,44825.0,2015-08-02,2016-09-26,0.0334,0
123,190,Obligor_0190,55,Group_055,DE,APAC,Retail,Revolver,1,Investment_Grade,EUR,310000.0,149635.0,160365.0,177091.0,2023-12-24,2030-02-10,0.0274,0
124,37,Obligor_0037,33,Group_033,CN,LATAM,Retail,Term_Loan,3,Investment_Grade,EUR,490000.0,315973.0,174027.0,0.0,2015-06-18,2017-09-07,0.0361,0
125,12,Obligor_0012,68,Group_068,IT,North America,Manufacturing,Term_Loan,6,Sub_IG,USD,250000.0,185730.0,64270.0,117555.0,2024-04-24,2025-11-12,0.0468,0
126,113,Obligor_0113,49,Group_049,CN,EMEA,Manufacturing,Revolver,3,Investment_Grade,USD,970000.0,184311.0,785689.0,667188.0,2024-03-05,2029-09-16,0.0358,0
127,183,Obligor_0183,8,Group_008,UK,North America,Transport,Guarantee,3,Investment_Grade,USD,440000.0,365999.0,74001.0,195750.0,2017-09-04,2020-09-10,0.0369,0
128,13,Obligor_0013,55,Group_055,DE,APAC,Retail,Derivatives,1,Investment_Grade,EUR,440000.0,234410.0,205590.0,120284.0,2018-08-21,2020-03-09,0.0316,0
129,23,Obligor_0023,73,Group_073,CN,North America,Transport,Revolver,3,Investment_Grade,EUR,350000.0,239784.0,110216.0,31309.0,2015-05-26,2020-02-07,0.0371,0
130,99,Obligor_0099,8,Group_008,UK,North America,Transport,Derivatives,4,Investment_Grade,USD,490000.0,411330.0,78670.0,328608.0,2019-12-04,2023-05-13,0.0425,0
131,105,Obligor_0105,64,Group_064,KZ,North America,Manufacturing,Guarantee,4,Investment_Grade,USD,790000.0,257276.0,532724.0,499166.0,2016-05-30,2017-12-31,0.0423,0
132,30,Obligor_0030,36,Group_036,US,North America,Transport,Term_Loan,3,Investment_Grade,USD,240000.0,109947.0,130053.0,57278.0,2023-08-28,2024-09-18,0.039,0
133,17,Obligor_0017,38,Group_038,JP,North America,Manufacturing,Guarantee,3,Investment_Grade,USD,280000.0,151841.0,128159.0,68695.0,2016-03-28,2020-07-19,0.0359,0
134,113,Obligor_0113,49,Group_049,CN,EMEA,Manufacturing,Revolver,2,Investment_Grade,USD,360000.0,159570.0,200430.0,250809.0,2015-03-01,2018-03-18,0.0361,0
135,62,Obligor_0062,20,Group_020,JP,APAC,Energy,Term_Loan,3,Investment_Grade,GBP,170000.0,160988.0,9012.0,90594.0,2024-04-05,2027-06-18,0.0352,0
136,84,Obligor_0084,48,Group_048,MX,APAC,Utilities,Revolver,1,Investment_Grade,USD,250000.0,107161.0,142839.0,0.0,2016-06-11,2017-10-22,0.0291,0
137,112,Obligor_0112,64,Group_064,KZ,North America,Manufacturing,Revolver,6,Sub_IG,EUR,320000.0,156445.0,163555.0,112344.0,2024-01-12,2025-11-27,0.05,0
138,86,Obligor_0086,8,Group_008,UK,North America,Transport,Guarantee,9,Watchlist,USD,820000.0,525520.0,294480.0,280326.0,2017-10-20,2019-12-27,0.0635,0
139,141,Obligor_0141,17,Group_017,DE,LATAM,Real_Estate,Revolver,9,Watchlist,USD,530000.0,190572.0,339428.0,244812.0,2021-11-26,2025-10-06,0.0648,0
140,187,Obligor_0187,68,Group_068,IT,North America,Manufacturing,Guarantee,7,Sub_IG,EUR,510000.0,265641.0,244359.0,204771.0,2019-04-14,2022-09-02,0.0555,0
141,19,Obligor_0019,69,Group_069,FR,LATAM,Energy,Term_Loan,4,Investment_Grade,EUR,800000.0,530793.0,269207.0,217458.0,2025-03-23,2031-12-20,0.0448,0
142,177,Obligor_0177,52,Group_052,CN,EMEA,Retail,Guarantee,5,Sub_IG,GBP,400000.0,213371.0,186629.0,177836.0,2022-09-05,2024-05-14,0.0443,0
143,100,Obligor_0100,27,Group_027,JP,EMEA,TMT,Term_Loan,3,Investment_Grade,USD,580000.0,337167.0,242833.0,167072.0,2022-09-30,2026-05-22,0.0404,0
144,140,Obligor_0140,2,Group_002,JP,LATAM,TMT,Guarantee,5,Sub_IG,USD,410000.0,202595.0,207405.0,492000.0,2018-01-07,2021-01-14,0.048,0
145,189,Obligor_0189,47,Group_047,IT,LATAM,TMT,Derivatives,4,Investment_Grade,EUR,530000.0,157466.0,372534.0,228261.0,2016-03-08,2020-04-10,0.0372,0
146,147,Obligor_0147,42,Group_042,JP,APAC,Manufacturing,Derivatives,4,Investment_Grade,USD,290000.0,192652.0,97348.0,114934.0,2025-08-08,2030-04-08,0.0416,0
147,76,Obligor_0076,80,Group_080,CN,LATAM,Real_Estate,Revolver,6,Sub_IG,USD,80000.0,76079.0,3921.0,68856.0,2018-03-22,2020-01-17,0.0512,0
148,9,Obligor_0009,32,Group_032,BR,North America,Retail,Guarantee,3,Investment_Grade,USD,400000.0,241472.0,158528.0,23566.0,2025-07-27,2031-12-25,0.037,0
149,199,Obligor_0199,19,Group_019,UK,LATAM,TMT,Guarantee,3,Investment_Grade,USD,1200000.0,774063.0,425937.0,447008.0,2016-02-05,2018-08-08,0.0358,0
150,28,Obligor_0028,20,Group_020,JP,APAC,Energy,Term_Loan,8,Watchlist,EUR,850000.0,627763.0,222237.0,138209.0,2024-03-04,2029-03-21,0.0622,0
151,128,Obligor_0128,18,Group_018,MX,LATAM,Retail,Revolver,1,Investment_Grade,USD,870000.0,301136.0,568864.0,486115.0,2020-10-05,2025-05-12,0.0302,0
